transaction_id,customer_id,age,gender,location,loyalty_tier,category,product,price,quantity,total_amount,rating,review,sentiment,payment_method,timestamp,will_purchase_again
TXN000151,CUST00475,69,Other,Houston,Bronze,Books,Fiction Novel,36.87,5,184.35,5.0,Superb quality. Will recommend to all my friends and family.,Positive,Google Pay,2022-07-24 00:00:00,1
TXN003466,CUST01120,37,Other,Houston,Bronze,Jewelry,Bracelet,463.29,3,1389.87,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,PayPal,2024-10-27 00:00:00,1
TXN014110,CUST01904,67,Other,Phoenix,Bronze,Electronics,Laptop,589.98,4,2359.92,2.0,Complete waste of money. Does not work as advertised at all.,Negative,Apple Pay,2023-07-26 00:00:00,1
TXN001548,CUST01716,35,Male,Phoenix,Bronze,Automotive,Tire Inflator,94.23,5,471.15,4.0,Outstanding quality! The product is even better than the pictures.,Positive,PayPal,2022-11-19 00:00:00,0
TXN000904,CUST00600,53,Male,San Antonio,Silver,Electronics,Camera,616.69,4,2466.76,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Credit Card,2023-10-12 00:00:00,1
TXN002933,CUST01778,42,Other,Chicago,Bronze,Jewelry,Diamond Earrings,294.29,2,588.58,4.0,"Five stars all the way! Perfect product, fast delivery.",Positive,Debit Card,2022-08-29 00:00:00,1
TXN005138,CUST00711,56,Other,New York,Silver,Electronics,Smartphone,245.54,5,1227.7,3.0,It works as described. Nothing extraordinary about it.,Neutral,PayPal,2023-03-10 00:00:00,0
TXN014371,CUST01946,56,Other,Philadelphia,Bronze,Grocery,Green Tea,36.0,5,180.0,5.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,Debit Card,2023-04-22 00:00:00,1
TXN009991,CUST00094,41,Other,San Diego,Silver,Beauty,Sunscreen,71.07,4,284.28,5.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,Google Pay,2022-10-02 00:00:00,1
TXN011367,CUST00001,56,Male,Houston,Silver,Sports,Bicycle,147.6,1,147.6,4.0,Fantastic! This product changed my life. So glad I bought it.,Positive,Google Pay,2023-02-10 00:00:00,0
TXN009903,CUST00733,50,Male,San Antonio,Gold,Beauty,Sunscreen,28.24,4,112.96,4.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Debit Card,2023-03-14 00:00:00,1
TXN009932,CUST00030,42,Other,Chicago,Platinum,Automotive,Floor Mats,128.68,4,514.72,4.0,Superb quality. Will recommend to all my friends and family.,Positive,PayPal,2023-04-18 00:00:00,0
TXN009416,CUST01406,41,Other,San Antonio,Bronze,Clothing,Jeans,35.83,2,71.66,5.0,Very happy with this purchase. Great customer service too.,Positive,Apple Pay,2022-09-25 00:00:00,1
TXN003922,CUST01360,36,Female,Chicago,Silver,Electronics,Headphones,586.72,2,1173.44,5.0,Superb quality. Will recommend to all my friends and family.,Positive,Google Pay,2024-08-17 00:00:00,0
TXN013605,CUST01567,43,Male,Houston,Platinum,Grocery,Olive Oil,13.36,4,53.44,4.0,"Five stars all the way! Perfect product, fast delivery.",Positive,Google Pay,2022-08-23 00:00:00,1
TXN014049,CUST00422,46,Male,Dallas,Gold,Home & Kitchen,Lamp,194.58,2,389.16,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Debit Card,2023-02-05 00:00:00,1
TXN014654,CUST01258,63,Male,Dallas,Silver,Clothing,Dress,133.55,4,534.2,4.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,PayPal,2022-09-16 00:00:00,0
TXN004818,CUST00267,20,Female,San Diego,Gold,Clothing,Jeans,97.68,1,97.68,5.0,Fantastic! This product changed my life. So glad I bought it.,Positive,Debit Card,2022-11-15 00:00:00,1
TXN007714,CUST01353,24,Other,Dallas,Silver,Sports,Yoga Mat,136.0,1,136.0,3.0,Works most of the time. Quality seems okay for everyday use.,Neutral,Google Pay,2022-12-04 00:00:00,0
TXN003060,CUST00084,32,Other,Dallas,Bronze,Books,Science Book,45.43,4,181.72,3.0,Works most of the time. Quality seems okay for everyday use.,Neutral,Debit Card,2023-06-18 00:00:00,0
TXN006336,CUST01395,51,Other,Los Angeles,Platinum,Home & Kitchen,Lamp,56.09,2,112.18,3.0,"Not bad, not great. Pretty much what I expected for the price.",Neutral,Credit Card,2024-05-19 00:00:00,0
TXN008826,CUST00059,24,Male,Houston,Silver,Books,Self-Help,48.61,2,97.22,4.0,Superb quality. Will recommend to all my friends and family.,Positive,Google Pay,2023-02-06 00:00:00,1
TXN008880,CUST01088,23,Female,Philadelphia,Silver,Electronics,Smartphone,160.98,5,804.9,5.0,Outstanding quality! The product is even better than the pictures.,Positive,Apple Pay,2023-04-29 00:00:00,1
TXN004360,CUST01231,22,Male,Dallas,Bronze,Beauty,Lipstick,21.76,4,87.04,4.0,"Five stars all the way! Perfect product, fast delivery.",Positive,Credit Card,2023-11-29 00:00:00,0
TXN011706,CUST01686,30,Other,Los Angeles,Gold,Home & Kitchen,Lamp,180.11,5,900.55,2.0,Disgusting quality. Returning immediately. This is completely unacceptable.,Negative,Debit Card,2022-12-18 00:00:00,1
TXN000999,CUST00846,18,Female,New York,Silver,Grocery,Olive Oil,46.92,1,46.92,5.0,Absolutely love this product! Exceeded all my expectations.,Positive,Credit Card,2024-09-10 00:00:00,1
TXN007075,CUST00300,54,Female,San Diego,Gold,Books,Fiction Novel,33.78,4,135.12,2.0,Waste of time and money. Product malfunctioned right out of the box.,Negative,Credit Card,2024-12-25 00:00:00,1
TXN008835,CUST00831,48,Other,Dallas,Bronze,Electronics,Smartphone,468.05,1,468.05,5.0,Superb quality. Will recommend to all my friends and family.,Positive,Debit Card,2023-11-11 00:00:00,1
TXN006921,CUST01527,34,Female,New York,Gold,Home & Kitchen,Vacuum,195.0,5,975.0,3.0,Mediocre quality. Was expecting more based on the description.,Neutral,PayPal,2022-03-23 00:00:00,1
TXN008630,CUST00617,41,Other,Dallas,Bronze,Sports,Running Shoes,178.56,5,892.8,4.0,Excellent value for money. Works as described and ships quickly.,Positive,Google Pay,2022-02-13 00:00:00,0
TXN002519,CUST00319,57,Male,Houston,Gold,Automotive,Tire Inflator,43.29,1,43.29,2.0,Terrible product! Broke after just two days of use. Very disappointed.,Negative,Google Pay,2023-11-08 00:00:00,0
TXN002381,CUST00966,47,Other,Los Angeles,Gold,Beauty,Sunscreen,84.61,5,423.05,,"It's alright. Nothing to write home about, just average.",Neutral,Debit Card,2022-03-28 00:00:00,0
TXN014618,CUST01570,26,Other,San Jose,Bronze,Toys,Doll,82.67,3,248.01,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Apple Pay,2023-12-27 00:00:00,0
TXN009673,CUST01247,22,Male,San Diego,Gold,Clothing,Shoes,43.08,1,43.08,3.0,Acceptable product. Some assembly required and instructions unclear.,Neutral,Credit Card,2023-05-08 00:00:00,0
TXN014296,CUST01027,64,Female,Chicago,Bronze,Toys,LEGO Set,86.28,4,345.12,4.0,Superb quality. Will recommend to all my friends and family.,Positive,Credit Card,2024-04-03 00:00:00,1
TXN000933,CUST00720,67,Male,Philadelphia,Silver,Home & Kitchen,Lamp,148.75,3,446.25,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Google Pay,2022-05-03 00:00:00,1
TXN001347,CUST01686,30,Other,Los Angeles,Gold,Books,Cookbook,24.1,2,48.2,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Debit Card,2023-10-01 00:00:00,0
TXN014922,CUST00742,33,Female,Dallas,Platinum,Grocery,Protein Bar,62.34,1,62.34,4.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Credit Card,2024-02-07 00:00:00,1
TXN005764,CUST01983,35,Male,San Jose,Bronze,Toys,LEGO Set,38.17,5,190.85,4.0,Very happy with this purchase. Great customer service too.,Positive,Debit Card,2022-06-15 00:00:00,0
TXN003822,CUST01511,29,Other,Philadelphia,Bronze,Jewelry,Silver Necklace,196.68,5,983.4,5.0,Fantastic! This product changed my life. So glad I bought it.,Positive,Debit Card,2024-02-21 00:00:00,1
TXN009625,CUST01274,21,Other,San Jose,Silver,Electronics,Laptop,720.9,1,720.9,4.0,Excellent value for money. Works as described and ships quickly.,Positive,PayPal,2022-06-11 00:00:00,1
TXN011032,CUST01948,46,Female,Chicago,Silver,Automotive,Floor Mats,30.46,1,30.46,5.0,"Five stars all the way! Perfect product, fast delivery.",Positive,Apple Pay,2022-12-14 00:00:00,1
TXN014605,CUST00444,51,Other,New York,Bronze,Jewelry,Silver Necklace,147.73,2,295.46,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Google Pay,2023-01-08 00:00:00,1
TXN008963,CUST01330,69,Female,San Diego,Bronze,Toys,LEGO Set,67.68,5,338.4,2.0,Terrible product! Broke after just two days of use. Very disappointed.,Negative,Google Pay,2023-09-17 00:00:00,1
TXN007440,CUST01811,54,Male,San Jose,Gold,Automotive,Tire Inflator,40.19,3,120.57,4.0,Superb quality. Will recommend to all my friends and family.,Positive,Debit Card,2024-06-28 00:00:00,0
TXN009020,CUST00467,23,Other,Dallas,Silver,Clothing,Jacket,40.5,1,40.5,4.0,Superb quality. Will recommend to all my friends and family.,Positive,PayPal,2022-12-24 00:00:00,0
TXN005149,CUST01070,45,Female,San Diego,Silver,Books,Biography,12.48,3,37.44,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Debit Card,2023-11-19 00:00:00,0
TXN001324,CUST01565,51,Male,Chicago,Silver,Automotive,Air Freshener,105.72,4,422.88,1.0,Complete waste of money. Does not work as advertised at all.,Negative,Credit Card,2024-07-08 00:00:00,1
TXN012546,CUST01991,34,Female,New York,Bronze,Home & Kitchen,Vacuum,162.96,5,814.8,2.0,Waste of time and money. Product malfunctioned right out of the box.,Negative,Apple Pay,2023-07-08 00:00:00,0
TXN009578,CUST00113,34,Other,San Jose,Bronze,Home & Kitchen,Cookware,168.61,1,168.61,5.0,Absolutely love this product! Exceeded all my expectations.,Positive,Apple Pay,2024-01-28 00:00:00,1
TXN012581,CUST01401,24,Female,Houston,Bronze,Jewelry,Silver Necklace,263.98,4,1055.92,3.0,It works as described. Nothing extraordinary about it.,Neutral,Credit Card,2023-10-18 00:00:00,0
TXN003821,CUST01463,51,Other,Philadelphia,Silver,Grocery,Olive Oil,40.68,1,40.68,4.0,Absolutely love this product! Exceeded all my expectations.,Positive,Apple Pay,2022-05-25 00:00:00,1
TXN011898,CUST00012,28,Female,Dallas,Gold,Home & Kitchen,Vacuum,198.77,5,993.85,2.0,Total junk. Stopped working after one week. Avoid this product.,Negative,Apple Pay,2022-11-30 00:00:00,0
TXN007692,CUST01242,53,Female,San Antonio,Gold,Books,Fiction Novel,37.25,2,74.5,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Google Pay,2024-04-26 00:00:00,0
TXN012854,CUST00718,62,Other,Los Angeles,Gold,Toys,Puzzle,97.95,5,489.75,4.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,PayPal,2024-06-06 00:00:00,0
TXN009189,CUST00750,35,Female,Phoenix,Bronze,Grocery,Protein Bar,20.16,5,100.8,4.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,PayPal,2022-09-04 00:00:00,1
TXN002883,CUST01833,41,Female,San Jose,Gold,Beauty,Lipstick,80.93,2,161.86,4.0,Outstanding quality! The product is even better than the pictures.,Positive,Apple Pay,2023-12-01 00:00:00,1
TXN003614,CUST00927,25,Other,San Jose,Gold,Beauty,Perfume,37.87,1,37.87,3.0,Decent product for the price. Some minor issues though.,Neutral,Google Pay,2024-10-14 00:00:00,1
TXN012715,CUST00666,48,Female,San Diego,Silver,Automotive,Tire Inflator,104.56,1,104.56,5.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,Credit Card,2022-10-03 00:00:00,1
TXN003170,CUST00695,25,Other,San Diego,Gold,Home & Kitchen,Blender,152.47,3,457.41,3.0,Decent product for the price. Some minor issues though.,Neutral,Apple Pay,2022-02-21 00:00:00,1
TXN005953,CUST01753,58,Other,Chicago,Silver,Automotive,Floor Mats,74.57,4,298.28,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Apple Pay,2022-11-08 00:00:00,1
TXN008296,CUST01105,30,Male,New York,Bronze,Grocery,Organic Coffee,14.85,1,14.85,5.0,"Amazing product, works perfectly! Very satisfied with purchase.",Positive,Apple Pay,2023-08-03 00:00:00,1
TXN002705,CUST01254,25,Other,Philadelphia,Gold,Grocery,Protein Bar,49.21,1,49.21,3.0,Works most of the time. Quality seems okay for everyday use.,Neutral,Apple Pay,2022-10-17 00:00:00,1
TXN014897,CUST01242,53,Female,San Antonio,Gold,Beauty,Shampoo,68.54,4,274.16,,"Five stars all the way! Perfect product, fast delivery.",Positive,Google Pay,2023-04-13 00:00:00,0
TXN012213,CUST00184,45,Male,Dallas,Bronze,Sports,Yoga Mat,55.29,2,110.58,1.0,Horrible experience! Customer service was useless and product failed.,Negative,Debit Card,2023-04-08 00:00:00,0
TXN014679,CUST00899,59,Other,Houston,Silver,Beauty,Face Cream,75.38,2,150.76,3.0,Acceptable product. Some assembly required and instructions unclear.,Neutral,Apple Pay,2023-07-05 00:00:00,0
TXN003578,CUST01775,55,Other,Houston,Bronze,Clothing,Dress,126.67,1,126.67,3.0,"It's alright. Nothing to write home about, just average.",Neutral,Google Pay,2024-08-20 00:00:00,0
TXN013154,CUST00289,24,Other,Los Angeles,Silver,Beauty,Lipstick,47.78,5,238.9,4.0,,Positive,Google Pay,2022-01-03 00:00:00,1
TXN014454,CUST00119,59,Male,San Diego,Bronze,Clothing,Jacket,110.35,3,331.05,4.0,,Positive,Google Pay,2024-04-07 00:00:00,1
TXN012697,CUST00304,52,Female,New York,Bronze,Sports,Bicycle,187.84,3,563.52,3.0,,Neutral,Credit Card,2024-03-31 00:00:00,0
TXN012882,CUST01515,38,Other,New York,Silver,Electronics,Camera,599.46,3,1798.38,4.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Google Pay,2022-02-25 00:00:00,1
TXN006596,CUST00059,24,Male,Houston,Silver,Clothing,Jeans,114.03,1,114.03,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Apple Pay,2024-06-24 00:00:00,1
TXN012411,CUST01184,31,Female,Philadelphia,Silver,Beauty,Sunscreen,60.42,2,120.84,4.0,Excellent value for money. Works as described and ships quickly.,Positive,PayPal,2022-02-07 00:00:00,1
TXN014041,CUST00245,28,Male,San Diego,Platinum,Electronics,Tablet,265.47,3,796.41,3.0,Works most of the time. Quality seems okay for everyday use.,Neutral,Credit Card,2023-12-27 00:00:00,0
TXN011655,CUST01245,60,Other,Philadelphia,Bronze,Jewelry,Diamond Earrings,121.53,3,364.59,3.0,Decent product for the price. Some minor issues though.,Neutral,Debit Card,2024-03-31 00:00:00,1
TXN001534,CUST01358,40,Male,New York,Silver,Books,Biography,41.59,5,207.95,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Credit Card,2024-10-13 00:00:00,1
TXN010461,CUST01728,29,Other,Phoenix,Bronze,Clothing,T-Shirt,127.79,4,511.16,3.0,It works as described. Nothing extraordinary about it.,Neutral,Apple Pay,2022-01-22 00:00:00,1
TXN011090,CUST00058,64,Female,New York,Silver,Clothing,Dress,102.28,2,204.56,3.0,"It's alright. Nothing to write home about, just average.",Neutral,PayPal,2022-02-19 00:00:00,0
TXN000100,CUST01552,39,Other,Houston,Gold,Beauty,Face Cream,51.01,2,102.02,5.0,Excellent value for money. Works as described and ships quickly.,Positive,Debit Card,2024-09-21 00:00:00,1
TXN004352,CUST01278,59,Other,Houston,Bronze,Electronics,Tablet,654.25,3,1962.75,4.0,,Positive,Debit Card,2024-04-10 00:00:00,0
TXN001237,CUST00198,58,Female,Dallas,Bronze,Sports,Bicycle,180.23,2,360.46,4.0,"Five stars all the way! Perfect product, fast delivery.",Positive,PayPal,2024-06-07 00:00:00,1
TXN001124,CUST00469,49,Female,Los Angeles,Gold,Toys,Puzzle,75.27,5,376.35,5.0,Fantastic! This product changed my life. So glad I bought it.,Positive,Debit Card,2022-09-18 00:00:00,1
TXN008762,CUST01993,25,Female,New York,Bronze,Beauty,Lipstick,80.32,1,80.32,4.0,Great quality and fast shipping. Will definitely buy again.,Positive,Google Pay,2024-11-21 00:00:00,1
TXN012091,CUST00973,25,Female,New York,Bronze,Beauty,Face Cream,43.12,3,129.36,4.0,This is exactly what I needed. Highly recommend to everyone.,Positive,Apple Pay,2022-03-11 00:00:00,0
TXN005184,CUST01596,27,Other,San Diego,Gold,Books,Science Book,34.75,5,173.75,4.0,Superb quality. Will recommend to all my friends and family.,Positive,Google Pay,2024-06-01 00:00:00,1
TXN013676,CUST00581,67,Other,Phoenix,Platinum,Beauty,Face Cream,84.79,1,84.79,5.0,This is exactly what I needed. Highly recommend to everyone.,Positive,PayPal,2024-12-29 00:00:00,1
TXN000512,CUST01666,56,Other,San Jose,Silver,Grocery,Green Tea,34.18,4,136.72,5.0,Great quality and fast shipping. Will definitely buy again.,Positive,Apple Pay,2024-06-23 00:00:00,1
TXN004861,CUST01738,51,Female,Phoenix,Silver,Beauty,Lipstick,41.96,2,83.92,3.0,"Product is okay, does the job but nothing special.",Neutral,Debit Card,2024-03-17 00:00:00,0
TXN008292,CUST01838,50,Other,Houston,Bronze,Jewelry,Bracelet,100.27,4,401.08,5.0,Great quality and fast shipping. Will definitely buy again.,Positive,Apple Pay,2023-07-11 00:00:00,1
